family;line;licenceFor;years;model;description;price
SFP;Accesory;;;IM-2-SFP-10GB;Meraki 2 x 10 GbE SFP+ Interface Module for MX400 and MX600;3999.00;
CORD;Accesory;;;MA-PWR-CORD-EU;Meraki AC Power Cord for MX and MS (EU Plug);29.00;
CORD;Accesory;;;MA-PWR-CORD-UK;Meraki AC Power Cord for MX and MS (UK Plug);29.00;
CORD;Accesory;;;MA-PWR-CORD-AU;Meraki AC Power Cord for MX and MS (AU Plug);29.00;
CORD;Accesory;;;MA-PWR-CORD-US;Meraki AC Power Cord for MX and MS (US Plug);29.00;
PWR;Accesory;;;PWR-MS320-250WAC;Meraki MS320 250WAC PSU for MS320-24 and MS320-48;450.00;
PWR;Accesory;;;PWR-MS320-640WAC;Meraki MS320 640WAC PSU for MS320-24P and MS320-48LP;950.00;
PWR;Accesory;;;PWR-MS320-1025WAC;Meraki MS320 1025WAC PSU for MS320-48FP;1450.00;
PWR;Accesory;;;PWR-MS420-400AC-R;Meraki MS420 400WAC front-to-back PSU;2000.00;
PWR;Accesory;;;MA-PWR-30WAC;Meraki MX64 Replacement Power Adapter (30 WAC);65.00;
FAN;Accesory;;;FAN-MS420-R;Meraki MS420 front-to-back fan;250.00;
SFP;Accesory;;;MA-SFP-10GB-LR;Meraki 10G Base LR Single-Mode;3995.00;
SFP;Accesory;;;MA-SFP-10GB-LRM;Meraki 10G Base LRM Multi-Mode;995.00;
SFP;Accesory;;;MA-SFP-10GB-SR;Meraki 10G Base SR Multi-Mode;995.00;
SFP;Accesory;;;MA-SFP-1GB-LX10;Meraki 1000Base LX10 Single-Mode;995.00;
SFP;Accesory;;;MA-SFP-1GB-SX;Meraki 1000Base SX Multi-Mode;500.00;
SFP;Accesory;;;MA-SFP-1GB-TX;Meraki 1 GbE SFP Copper Module;395.00;
SFP;Accesory;;;MA-CBL-TA-1M;Meraki 10 GbE Twinax Cable with SFP+ Modules. 1 Meter;150.00;
